contact_id,contact_type,first_name,last_name,email,phone,linkedin_url,primary_school_account_id,created_at
f602fc07-cbe8-461e-b54b-c779c701f8a8,student,Cameron,Marshall,jacqueline75@example.org,820.826.5011x4813,https://linkedin.com/in/cameron-marshall-703,a1d3b662-d918-448e-9c20-6a1fb8ce55e9,2026-01-30 17:53:28.445082
6b61c374-57ee-43ad-a997-fbfea6f02157,student,Anna,Nichols,davisaaron@example.net,752.477.6251x707,,9d0e951a-e86e-40bd-9486-178b4acf0938,2026-01-30 17:53:28.445082
3e98864a-46b4-496c-a3d3-30956a54598d,student,Julie,Mcbride,yjackson@example.org,+1-682-934-0938x9906,https://linkedin.com/in/julie-mcbride-881,a1d3b662-d918-448e-9c20-6a1fb8ce55e9,2026-01-30 17:53:28.445082
af35c024-eb3d-49c0-9b5e-23bb8419f8a8,student,Audrey,Walters,stephaniemedina@example.com,367-815-8248x140,https://linkedin.com/in/audrey-walters-452,9d0e951a-e86e-40bd-9486-178b4acf0938,2026-01-30 17:53:28.445082
ae67cde3-7526-476b-bd4c-46ed90a767d7,student,Justin,Hicks,jonathanwilliamson@example.org,+1-371-594-9221,https://linkedin.com/in/justin-hicks-227,,2026-01-30 17:53:28.445082
16e508c0-5319-4d3f-8b6e-2bc5a16542ee,student,Benjamin,Zimmerman,wjackson@example.com,813-268-8036,,e82069dd-1178-4da1-b077-318efbda57ae,2026-01-30 17:53:28.445082
dad7789e-70d8-47fc-91c6-74ef95588a4b,student,Patricia,Johnson,andersonchristina@example.org,,https://linkedin.com/in/patricia-johnson-333,9d0e951a-e86e-40bd-9486-178b4acf0938,2026-01-30 17:53:28.445082
8b9a1ae8-60af-4be4-921b-23a36391fa1c,student,Sara,Bell,,,,9d0e951a-e86e-40bd-9486-178b4acf0938,2026-01-30 17:53:28.445082
55cf1226-aeb9-4d4f-8e35-3b89991b57f2,student,Christopher,Flores,lynn13@example.com,679-437-3455,https://linkedin.com/in/christopher-flores-479,e82069dd-1178-4da1-b077-318efbda57ae,2026-01-30 17:53:28.445082
2976d7e2-e041-47db-bd53-fab4781bae21,student,Elizabeth,Dean,burnsseth@example.com,+1-573-831-7774,,9d0e951a-e86e-40bd-9486-178b4acf0938,2026-01-30 17:53:28.445082
